LLM,topic,experiment,if_base,稳态轮次,达成共识轮次,共识观点,末轮观点分布,ave_opinion,agent1_posi,agent1_negi,agent1_poss,agent1_negs,agent2_posi,agent2_negi,agent2_poss,agent2_negs,agent3_posi,agent3_negi,agent3_poss,agent3_negs,agent4_posi,agent4_negi,agent4_poss,agent4_negs,agent5_posi,agent5_negi,agent5_poss,agent5_negs,agent6_posi,agent6_negi,agent6_poss,agent6_negs,rumor,truth,ave_Ip,ave_In,ave_Sp,ave_Sn,max_Ip,max_In,max_Sp,max_Sn
DeepSeek-V3.2,5,13,0,1,11,FALSE,polar,0.666666667,0,0,-0.833333333,0,0,0,-0.833333333,0,0,0,0,0,3.333333333,0,0,0,0,0,-0.833333333,0,0,0,-0.833333333,0,3,4,0.555555556,0,-0.555555556,0,3.333333333,0,0,0
DeepSeek-V3.2,5,14,0,1,11,FALSE,polar,0.666666667,0,0,-0.833333333,0,0,0,-0.833333333,0,0,0,0,0,0,0,-0.833333333,0,3.333333333,0,0,0,0,0,-0.833333333,0,3,5,0.555555556,0,-0.555555556,0,3.333333333,0,0,0
DeepSeek-V3.2,5,15,0,1,11,FALSE,polar,0.666666667,0,0,-0.833333333,0,0,0,-0.833333333,0,0,0,0,0,0,0,-0.833333333,0,0,0,-0.833333333,0,3.333333333,0,0,0,3,6,0.555555556,0,-0.555555556,0,3.333333333,0,0,0
DeepSeek-V3.2,5,16,0,1,1,1,consistent,1,3.920565578,0,0,0,0.293616122,0,-0.833333333,0,0.293616122,0,-0.833333333,0,0,0,-1.761696734,0,0.293616122,0,-0.833333333,0,0.293616122,0,-0.833333333,0,4,1,0.849171678,0,-0.849171678,0,3.920565578,0,0,0
DeepSeek-V3.2,5,17,0,7,7,1,consistent,1,0.061397962,0,-0.833333333,0,3.394731296,0,0,0,0.061397962,0,-0.833333333,0,0,0,-0.613979624,0,0.061397962,0,-0.833333333,0,0.061397962,0,-0.833333333,0,4,2,0.606720524,0,-0.657885493,0,3.394731296,0,0,0
DeepSeek-V3.2,5,18,0,1,11,FALSE,polar,0.666666667,0,0,-0.833333333,0,0,0,-0.833333333,0,3.333333333,0,0,0,0,0,0,0,0,0,-0.833333333,0,0,0,-0.833333333,0,4,3,0.555555556,0,-0.555555556,0,3.333333333,0,0,0
DeepSeek-V3.2,5,19,0,1,11,FALSE,polar,0.666666667,0,0,-0.833333333,0,0,0,-0.833333333,0,0,0,-0.833333333,0,0,0,0,0,3.333333333,0,0,0,0,0,-0.833333333,0,4,5,0.555555556,0,-0.555555556,0,3.333333333,0,0,0
DeepSeek-V3.2,5,20,0,1,11,FALSE,polar,0.666666667,0,0,-0.833333333,0,0,0,-0.833333333,0,0,0,-0.833333333,0,0,0,0,0,0,0,-0.833333333,0,3.333333333,0,0,0,4,6,0.555555556,0,-0.555555556,0,3.333333333,0,0,0
DeepSeek-V3.2,5,21,0,5,11,FALSE,polar,0.666666667,2.600469393,0,0,0,0.100469393,0,-0.833333333,0,0.100469393,0,-0.833333333,0,0,0,-0.401877572,0,0,0,0,0,0.100469393,0,-0.833333333,0,5,1,0.483646262,0,-0.483646262,0,2.600469393,0,0,0
DeepSeek-V3.2,5,22,0,2,11,FALSE,polar,0.666666667,0.173611111,0,-0.833333333,0,2.673611111,0,0,0,0,0,-0.694444444,0,0.173611111,0,-0.833333333,0,0,0,0,0,0.173611111,0,-0.833333333,0,5,2,0.532407407,0,-0.532407407,0,2.673611111,0,0,0
DeepSeek-V3.2,5,23,0,3,11,FALSE,polar,0.666666667,0.144675926,0,-0.833333333,0,0.144675926,0,-0.833333333,0,2.644675926,0,0,0,0,0,-0.578703704,0,0,0,0,0,0.144675926,0,-0.833333333,0,5,3,0.513117284,0,-0.513117284,0,2.644675926,0,0,0
DeepSeek-V3.2,5,24,0,1,11,FALSE,polar,0,0,0,-0.833333333,0,0,0,0,-0.833333333,0,0,-0.833333333,0,1.666666667,0,0,0,0,1.666666667,0,0,0,0,0,-0.833333333,5,4,0.277777778,0.277777778,-0.277777778,-0.277777778,1.666666667,1.666666667,0,0
DeepSeek-V3.2,5,25,0,1,11,FALSE,polar,0.666666667,0,0,-0.833333333,0,0,0,-0.833333333,0,0,0,-0.833333333,0,0,0,-0.833333333,0,0,0,0,0,3.333333333,0,0,0,5,6,0.555555556,0,-0.555555556,0,3.333333333,0,0,0
DeepSeek-V3.2,5,26,0,8,8,1,consistent,1,2.69825216,0,0,0,0.19825216,0,-0.833333333,0,0.19825216,0,-0.833333333,0,0.19825216,0,-0.833333333,0,0.051164969,0,-1.176697531,-0.833333333,0,0.833333333,-0.511649687,0,6,1,0.557362268,0.138888889,-0.69805787,-0.138888889,2.69825216,0.833333333,0,0
DeepSeek-V3.2,5,27,0,2,11,FALSE,polar,0.666666667,0.462962963,0,-0.833333333,0,2.12962963,0,0,0,0.462962963,0,-0.833333333,0,0,0,-0.694444444,0,0,0,-0.694444444,0,0,0,0,0,6,2,0.509259259,0,-0.509259259,0,2.12962963,0,0,0
DeepSeek-V3.2,5,28,0,2,11,FALSE,polar,0.666666667,0,0,-0.694444444,0,0.173611111,0,-0.833333333,0,2.673611111,0,0,0,0.173611111,0,-0.833333333,0,0.173611111,0,-0.833333333,0,0,0,0,0,6,3,0.532407407,0,-0.532407407,0,2.673611111,0,0,0
DeepSeek-V3.2,5,29,0,3,11,FALSE,polar,0.666666667,0.144675926,0,-0.694444444,0,0,0,-0.578703704,0,0.376157407,0,-0.833333333,0,2.042824074,0,0,0,0.376157407,0,-0.833333333,0,0,0,0,0,6,4,0.489969136,0,-0.489969136,0,2.042824074,0,0,0
DeepSeek-V3.2,5,30,0,1,1,1,consistent,1,0.293616122,0,-0.833333333,0,0.293616122,0,-0.833333333,0,0.293616122,0,-0.833333333,0,0.293616122,0,-0.833333333,0,3.920565578,0,0,0,0,0,-1.761696734,0,6,5,0.849171678,0,-0.849171678,0,3.920565578,0,0,0
DeepSeek-V3.2,6,-4,1,2,11,FALSE,polar,0.666666667,0,0,-0.694444444,0,0,0,0,0,0.173611111,0,-0.833333333,0,0.173611111,0,-0.833333333,0,0.173611111,0,-0.833333333,0,2.673611111,0,0,0,2,6,0.532407407,0,-0.532407407,0,2.673611111,0,0,0
DeepSeek-V3.2,6,-3,1,3,11,FALSE,polar,0.666666667,2.644675926,0,0,0,0.144675926,0,-0.833333333,0,0,0,-0.578703704,0,0.144675926,0,-0.833333333,0,0.144675926,0,-0.833333333,0,0,0,0,0,6,1,0.513117284,0,-0.513117284,0,2.644675926,0,0,0
DeepSeek-V3.2,6,-2,1,1,11,FALSE,polar,0.666666667,0,0,-0.833333333,0,3.333333333,0,0,0,0,0,-0.833333333,0,0,0,-0.833333333,0,0,0,-0.833333333,0,0,0,0,0,6,2,0.555555556,0,-0.555555556,0,3.333333333,0,0,0
DeepSeek-V3.2,6,-1,1,5,11,FALSE,polar,0.333333333,0.375085734,0,-0.578703704,0,0.133959191,0,-0.482253086,0,0.953789438,0,0,0,0,0,-0.401877572,0,0,0,0,-0.694444444,0,0.694444444,0,0,6,3,0.243805727,0.115740741,-0.243805727,-0.115740741,0.953789438,0.694444444,0,0
DeepSeek-V3.2,6,0,1,4,11,FALSE,polar,0.666666667,0.352044753,0,-0.833333333,0,0.120563272,0,-0.694444444,0,0.352044753,0,-0.833333333,0,2.01871142,0,0,0,0,0,-0.482253086,0,0,0,0,0,6,4,0.473894033,0,-0.473894033,0,2.01871142,0,0,0
